method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy
full_log,0,21348,0.9888532632376437,0.7805759402032002,0.9784476270770972,0.7805759402032002,0.6822429906542056,3.6178987701828125,0.2791666666666667,12.729223603554367
trace2vec_based,1,11727,0.9961404556693239,0.8368238872766687,0.9929348207366132,0.8368238872766687,0.6888888888888889,1.4638853976827966,0.2032967032967033,6.132341630813334
trace2vec_based,2,2687,0.9681170451189659,0.9368255836766726,0.9607101813539279,0.9378070347809,0.7142857142857143,6.170422766590703,0.4027777777777778,6.810604766346792
trace2vec_based,3,4967,0.9849225888920321,0.8347150620036227,0.9761178789627668,0.8347150620036227,0.7073170731707318,3.623525723697927,0.24358974358974358,5.345789883861586
trace2vec_based,4,1967,0.8999870179429135,0.8187942850505285,0.8830473133968993,0.8187942850505285,0.6941176470588235,5.482704372045196,0.3333333333333333,10.257566411788186
trace2vec_based,average,21348,0.9811436475168285,0.8472588598978403,0.9748410375836627,0.8473823918032676,0.69685492919662,2.929053859934227,0.24976116036754037,6.414804047069968
entropic_clustering_++,1,4519,0.8824313316831731,0.8757073076365043,0.8961079919111822,0.8757073076365043,0.7011494252873564,2.9752442626780136,0.23626373626373626,5.162504788711928
entropic_clustering_++,2,9514,0.9997663900720231,0.4799037668870607,0.9993024601995212,0.4799037668870607,0.7333333333333333,0.05905683842677493,0.16666666666666666,4.467392677694702
entropic_clustering_++,3,3364,0.9853796311679681,0.6065766923736076,0.9686358611071866,0.6065766923736076,0.7087378640776699,4.993673357888842,0.2,8.973948277208207
entropic_clustering_++,4,3951,0.9897429912483918,0.7120701281186783,0.9845183106656991,0.7124027171712628,0.6907216494845361,5.326392651947638,0.23076923076923078,8.458341038592973
entropic_clustering_++,average,21348,0.9708064577802571,0.6266178953866672,0.9698893809251278,0.6266794496000251,0.7147584316131526,2.4288125411100556,0.19851563245323783,6.063303378479756
entropic_clustering_++_norm,1,3371,0.9851439953523113,0.6059405940594059,0.9678342465352833,0.6059405940594059,0.7087378640776699,5.038613948199179,0.20952380952380953,9.070301836841331
entropic_clustering_++_norm,2,4496,0.8824020509727342,0.875285097297035,0.8966857612321276,0.875285097297035,0.6888888888888889,2.885158169716345,0.20476190476190476,5.007063321186382
entropic_clustering_++_norm,3,9504,0.9996996852691231,0.4583011718475897,0.9993350318264337,0.4583011718475897,0.7358490566037735,0.04928550951128411,0.18181818181818182,4.457600572235638
entropic_clustering_++_norm,4,3977,0.9896115977982789,0.711958946898706,0.983965650278727,0.7122890059837457,0.6907216494845361,5.379626270264866,0.23626373626373626,8.51438614032283
entropic_clustering_++_norm,average,21348,0.9708183981050945,0.6166883365691106,0.9698791437702365,0.6167498245296316,0.7132709957941041,2.427394693163891,0.20116803282907833,6.057452393790402
entropic_clustering_randominit,1,4293,0.8815030017421357,0.8741943669119513,0.8959731506801344,0.8741943669119513,0.6907216494845361,2.5888682013606497,0.20952380952380953,5.737988409075832
entropic_clustering_randominit,2,4053,0.9588844392257269,0.7350543478260869,0.9510400457107324,0.7350543478260869,0.6923076923076922,5.399790346144242,0.24725274725274726,8.712562336495905
