method,cluster,num_traces,replay_fitness,replay_precision,align_fitness,align_precision,simplicity,ER,graph_density,graph_entropy
full_log,0,451359,0.9899408402287786,0.5911527291883611,0.974907653260162,0.5911527291883611,0.6285714285714286,3.450390832066764,0.4157894736842105,18.223095414545305
trace2vec_based,1,109278,0.9973386305746872,0.5207071845248431,0.9949469809676488,0.5207071845248431,0.6744186046511628,0.5112943798229761,0.2958333333333333,10.111383104784338
trace2vec_based,2,27196,0.9987372139169318,0.5049086046164073,0.9960075180375326,0.507953191422937,0.6444444444444444,7.836757438415078,0.3736263736263736,10.663300820345295
trace2vec_based,3,25442,0.9648996697244634,0.6479721377743628,0.9571219933756236,0.6489669836592553,0.6296296296296295,7.486003395049963,0.2352941176470588,7.634630270725385
trace2vec_based,4,15932,0.8695849680855099,0.8088476541139586,0.6448564232114224,0.8151190695957172,0.6752136752136753,6.067948653998695,0.3300653594771242,16.495419939061087
trace2vec_based,5,273511,0.9862179289011328,0.4410751096267542,0.9649301545636508,0.4410751096267542,0.6216216216216216,2.447192425817656,0.2647058823529412,10.199413896777036
trace2vec_based,average,451359,0.984346130689698,0.4888447918073545,0.962331976191141,0.4893056835659086,0.6381224702555471,2.71506536137224,0.2794541433620337,10.283716598479334
entropic_clustering_++,1,120529,0.9968252678684126,0.5323605416393895,0.9899101039580208,0.5323605416393895,0.6385542168674699,1.0273529378586888,0.3538011695906433,16.413761543112273
entropic_clustering_++,2,37011,0.9980114838319734,0.7702735434698359,0.9929892322123286,0.7709018612657901,0.652892561983471,4.376040957889929,0.3157894736842105,18.192869378967508
entropic_clustering_++,3,205778,0.9986243828040678,0.6009493870497856,0.9975569023937356,0.6009493870497856,0.6880733944954129,0.1346114677766034,0.1727941176470588,8.809360063272775
entropic_clustering_++,4,27826,0.9990207347133248,0.7441046497985999,0.9943809081726586,0.7581836106472446,0.6603773584905661,0.4268627942646061,0.2316176470588235,15.98286315698114
entropic_clustering_++,5,60215,1.0,0.4010356739289252,0.9997672429497952,0.4010356739289252,0.6065573770491803,4.117680706575387,0.25,15.038319945819197
entropic_clustering_++,average,451359,0.9983016511198524,0.5786734282464135,0.9952394686694608,0.5795929088251113,0.6593828584901187,1.2701897616208202,0.2467812893247996,12.882682375799645
entropic_clustering_++_norm,1,31263,0.9889336992818616,0.7282820908952006,0.9693018302348352,0.7505176166628325,0.6551724137931035,0.7386300909146446,0.3888888888888889,22.375765597565767
entropic_clustering_++_norm,2,60247,0.9928693538911444,0.5140640813366888,0.9842135163539656,0.5140640813366888,0.6260162601626016,4.115517900191138,0.2263157894736842,12.724215750150863
entropic_clustering_++_norm,3,205747,0.998455146619601,0.7373003906147514,0.9975951280928986,0.7373003906147514,0.6862745098039215,0.1326401038426468,0.1691176470588235,8.779615389261805
entropic_clustering_++_norm,4,36961,0.9980341513280064,0.7701443338948338,0.9931953694760935,0.7707729322092154,0.652892561983471,4.369884890111566,0.3157894736842105,18.166282723778952
entropic_clustering_++_norm,5,117141,0.9957538242472512,0.6329125062521999,0.9793209488264176,0.6329125062521999,0.6888888888888889,0.6902762097950499,0.1666666666666666,8.529622655563461
entropic_clustering_++_norm,average,451359,0.9963145173785244,0.6824761526938363,0.9887462728688692,0.6840677524279092,0.6740219507838814,1.1979481163007908,0.2033492717947537,10.951640306096564
entropic_clustering_randominit,1,31425,0.9858130149982218,0.7118902181085974,0.9630719353986792,0.7277770049384433,0.6470588235294118,0.7565892119781413,0.3888888888888889,22.153337851136204
entropic_clustering_randominit,2,117103,0.995770657430937,0.6329110992215421,0.9793766211058114,0.6329110992215421,0.6888888888888889,0.6853314670791971,0.1637426900584795,8.27776571232874
entropic_clustering_randominit,3,37873,0.997362451550676,0.7706728248558176,0.99129467551995,0.7712961367888435,0.652892561983471,4.523717447619986,0.3216374269005848,19.076984595870965
entropic_clustering_randominit,4,60002,0.9956884444344158,0.4786353324756695,0.9907460332294344,0.4786353324756695,0.6198347107438017,4.070681034715822,0.2426900584795321,12.019240878728429
entropic_clustering_randominit,5,204956,0.9985287306214752,0.7066256535173159,0.997864741560264,0.7066684429342325,0.6956521739130435,0.1037112445398696,0.1601307189542483,9.896403425042609
entropic_clustering_randominit,average,451359,0.9964524158757035,0.6629332197064143,0.9891480810935028,0.6641110380654166,0.6768474503788307,1.1982971048554083,0.2015216454288784,11.38235468744548
